2025-03-16 18:42:50,040 INFO    Thread-18 (_run_job):13387 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/dextrolaev/Desktop/DL/da6401_assignment1/wandb/run-20250316_184250-9myz8p3o/logs/debug.log
2025-03-16 18:42:50,040 INFO    Thread-18 (_run_job):13387 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/dextrolaev/Desktop/DL/da6401_assignment1/wandb/run-20250316_184250-9myz8p3o/logs/debug-internal.log
2025-03-16 18:42:50,041 INFO    Thread-18 (_run_job):13387 [wandb_init.py:init():761] calling init triggers
2025-03-16 18:42:50,041 INFO    Thread-18 (_run_job):13387 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activation_function': 'ReLU', 'batch_size': 64, 'epochs': 10, 'hidden_layer_size': 128, 'learning_rate': 0.0003, 'num_of_hidden_layers': 5, 'optimizer': 'Adam', 'weight_decay': 0.0005, 'weight_initialization': 'Xavier'}
config: {'_wandb': {}}
2025-03-16 18:42:50,041 INFO    Thread-18 (_run_job):13387 [wandb_init.py:init():776] wandb.init() called while a run is active
2025-03-16 18:45:08,541 INFO    Thread-18 (_run_job):13387 [wandb_run.py:_finish():2112] finishing run cs24s031-indian-institute-of-technology-madras/dl-assignment1/9myz8p3o
2025-03-16 18:45:08,545 INFO    Thread-18 (_run_job):13387 [jupyter.py:save_history():458] not saving jupyter history
2025-03-16 18:45:08,549 INFO    Thread-18 (_run_job):13387 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-16 18:45:08,549 INFO    Thread-18 (_run_job):13387 [wandb_init.py:_jupyter_teardown():581] cleaning up jupyter logic
2025-03-16 18:45:08,550 INFO    Thread-18 (_run_job):13387 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-03-16 18:45:08,550 INFO    Thread-18 (_run_job):13387 [wandb_run.py:_restore():2322] restore
2025-03-16 18:45:08,553 INFO    Thread-18 (_run_job):13387 [wandb_run.py:_restore():2328] restore done
2025-03-16 18:45:10,104 INFO    Thread-18 (_run_job):13387 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-16 18:45:10,104 INFO    Thread-18 (_run_job):13387 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-16 18:45:10,105 INFO    Thread-18 (_run_job):13387 [wandb_run.py:_footer_sync_info():3917] logging synced files
2025-03-16 18:45:20,113 INFO    MsgRouterThr:13387 [mailbox.py:close():129] Closing mailbox, abandoning 1 handles.
2025-03-16 18:45:20,859 INFO    Thread-21 (_run_job):13387 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-16 18:45:20,859 INFO    Thread-21 (_run_job):13387 [wandb_setup.py:_flush():67] Configure stats pid to 13387
2025-03-16 18:45:20,859 INFO    Thread-21 (_run_job):13387 [wandb_setup.py:_flush():67] Loading settings from /home/dextrolaev/.config/wandb/settings
2025-03-16 18:45:20,859 INFO    Thread-21 (_run_job):13387 [wandb_setup.py:_flush():67] Loading settings from /home/dextrolaev/Desktop/DL/da6401_assignment1/wandb/settings
2025-03-16 18:45:20,859 INFO    Thread-21 (_run_job):13387 [wandb_setup.py:_flush():67] Loading settings from environment variables
